Distance_(_),Gray_Value
12.2976,0.00088578
12.3209,0.00086951
12.3442,0.00084535
13.6718,0.00052747
13.6951,0.0005558
13.7184,0.00054224
13.7417,0.00052455
13.765,0.00053584
13.7883,0.00054367
13.8115,0.00053653
13.8348,0.0005258
13.8581,0.00052637
13.8814,0.00052626
13.9047,0.00050589
13.928,0.00046899
13.9513,0.00045013
13.9746,0.00043577
13.9979,0.00042761
14.0212,0.00043202
14.0445,0.00044567
14.0677,0.00041784
14.091,0.0003973
14.1143,0.00040808
14.1376,0.00040813
14.1609,0.00038521
14.1842,0.00036193
14.2075,0.00034211
14.2308,0.00036357
14.2541,0.0003803
14.2774,0.00037448
14.3007,0.000361
14.3239,0.00035164
14.3472,0.00036797
14.3705,0.00037344
14.3938,0.0003543
14.4171,0.00033839
14.4404,0.00031914
14.4637,0.00030608
14.487,0.0003017
14.5103,0.00030053
14.5336,0.00029634
14.5569,0.00028652
14.5801,0.00027257
14.6034,0.00026538
14.6267,0.00024831
14.65,0.00024843
14.6733,0.000251
14.6966,0.00026504
14.7199,0.00025813
14.7432,0.00023093
14.7665,0.00022561
14.7898,0.00021958
14.8131,0.00021734
14.8363,0.00024027
14.8596,0.00025117
14.8829,0.00023098
14.9062,0.00021562
14.9295,0.00022334
14.9528,0.000222
14.9761,0.00019119
14.9994,0.00015857
15.0227,0.00017545
15.046,0.00021801
15.0693,0.00023886
15.0925,0.00022316
15.1158,0.00020193
15.1391,0.00019185
15.1624,0.00018552
15.1857,0.00016393
15.209,0.0001498
15.2323,0.00015397
15.2556,0.00017812
15.2789,0.00018651
15.3022,0.00016519
15.3255,0.00014743
15.3487,0.00013819
15.372,0.00014554
15.3953,0.00015469
15.4186,0.00014773
15.4419,0.0001545
15.4652,0.00015095
15.4885,0.00012107
15.5118,0.00010486
15.5351,0.0001177
15.5584,0.00013499
15.5817,0.00013092
15.6049,0.00011831
15.6282,0.00009359
15.6515,0.00008741
15.6748,0.00007612
15.6981,0.00008796
15.7214,0.00009639
15.7447,0.0001101
15.768,0.00010876
15.7913,0.00009631
15.8146,0.00006764
15.8379,0.00004715
15.8611,0.00003838
15.8844,0.0000244
15.9077,0.00002747
15.931,0.00003769
15.9543,0.00004987
15.9776,0.00004987
16.0009,0.0000703
16.0242,0.0000633
16.0475,0.00002104
16.0708,0.00001817
16.0941,0.00003329
16.1173,0.00002625
16.1406,0.00002141
16.1639,0.00002177
16.1872,0.00002457
16.2105,0.00003119
16.2338,0.0000491
16.2571,0.00004889
16.2804,0.00002909
16.3037,0.00000367
16.327,0.00000722
16.3503,0.00002908
16.3735,0.00002308
16.3968,0.00002717
16.4201,0.00003064
16.4434,0.00001831
16.4667,0.00001309
16.49,0.00001457
16.5133,0.00002487
16.5366,0.00002665
16.5599,0.00000316
16.5832,0.00000007
16.6065,0.00003144
16.6297,0.00003852
16.653,0.00005231
16.6763,0.00005013
16.6996,0.00002174
16.7229,0.00002675
16.7462,0.0000298
16.7695,-0.00000292
16.7928,-0.00002509
16.8161,-0.00000881
16.8394,0.00001417
16.8627,0.000012
16.8859,-0.00001416
16.9092,-0.00001233
16.9325,-0.00000486
16.9558,0.00000581
16.9791,0.00001891
17.0024,0.00000496
17.0257,-0.00000329
17.049,-0.00005398
17.0723,-0.00006617
17.0956,-0.00004295
17.1189,-0.00002269
17.1421,-0.00000353
17.1654,-0.00000391
17.1887,-0.00000552
17.212,-0.00002892
17.2353,-0.00003595
17.2586,-0.00004905
